00FR               20251118                                                                                   
0601FRA0N       20260101001855100000005000 0000000000002426   
0601FRA0N       20260101001860100000005000 0000000000002430   
0601FRA0N       20260101001865100000005000 0000000000002433   
0601FRA0N       20260101001870100000005000 0000000000002435   
0601FRA0N       20260101001875100000005000 0000000000002439   
0601FRA0N       20260101001880100000005000 0000000000002443   
0601FRA0N       20260101001885100000005000 0000000000002446   
0601FRA0N       20260101001890100000005000 0000000000002449   
0601FRA0N       20260101001895100000005000 0000000000002453   
0601FRA0N       20260101001900100000005000 0000000000002456   
0601FRA0N       20260101001905100000005000 0000000000002459   
0601FRA0N       20260101001910100000005000 0000000000002462   
0601FRA0N       20260101001915100000005000 0000000000002466   
0601FRA0N       20260101001920100000005000 0000000000002469   
0601FRA0N       20260101001925100000005000 0000000000002472   
0601FRA0N       20260101001930100000005000 0000000000002477   
0601FRA0N       20260101001935100000005000 0000000000002479   
0601FRA0N       20260101001940100000005000 0000000000002482   
0601FRA0N       20260101001945100000005000 0000000000002487   
0601FRA0N       20260101001950100000005000 0000000000002490   
0601FRA0N       20260101001955100000005000 0000000000002492   
0601FRA0N       20260101001960100000005000 0000000000002495   
0601FRA0N       20260101001965100000005000 0000000000002500   
0601FRA0N       20260101001970100000005000 0000000000002502   
0601FRA0N       20260101001975100000005000 0000000000002505   
0601FRA0N       20260101001980100000005000 0000000000002509   
0601FRA0N       20260101001985100000005000 0000000000002512   
0601FRA0N       20260101001990100000005000 0000000000002515   
0601FRA0N       20260101001995100000005000 0000000000002518   
0601FRA0N       20260101002000100000005000 0000000000002522   
0601FRA0N       20260101002005100000005000 0000000000002524   
0601FRA0N       20260101002010100000005000 0000000000002527   
0601FRA0N       20260101002015100000005000 0000000000002532   
0601FRA0N       20260101002020100000005000 0000000000002534   
0601FRA0N       20260101002025100000005000 0000000000002537   
0601FRA0N       20260101002030100000005000 0000000000002540   
0601FRA0N       20260101002035100000005000 0000000000002544   
0601FRA0N       20260101002040100000005000 0000000000002546   
0601FRA0N       20260101002045100000005000 0000000000002549   
