00JU               20251117                                                                                   
0601JUA0Y       20260101002125100000005000 0000000000002604   
0601JUA0Y       20260101002130100000005000 0000000000002606   
0601JUA0Y       20260101002135100000005000 0000000000002608   
0601JUA0Y       20260101002140100000005000 0000000000002612   
0601JUA0Y       20260101002145100000005000 0000000000002614   
0601JUA0Y       20260101002150100000005000 0000000000002617   
0601JUA0Y       20260101002155100000005000 0000000000002619   
0601JUA0Y       20260101002160100000005000 0000000000002622   
0601JUA0Y       20260101002165100000005000 0000000000002625   
0601JUA0Y       20260101002170100000005000 0000000000002627   
0601JUA0Y       20260101002175100000005000 0000000000002629   
0601JUA0Y       20260101002180100000005000 0000000000002632   
0601JUA0Y       20260101002185100000005000 0000000000002635   
0601JUA0Y       20260101002190100000005000 0000000000002637   
0601JUA0Y       20260101002195100000005000 0000000000002639   
0601JUA0Y       20260101002200100000005000 0000000000002642   
0601JUA0Y       20260101002205100000005000 0000000000002644   
0601JUA0Y       20260101002210100000005000 0000000000002646   
0601JUA0Y       20260101002215100000005000 0000000000002648   
0601JUA0Y       20260101002220100000005000 0000000000002652   
0601JUA0Y       20260101002225100000005000 0000000000002654   
0601JUA0Y       20260101002230100000005000 0000000000002656   
0601JUA0Y       20260101002235100000005000 0000000000002660   
0601JUA0Y       20260101002240100000005000 0000000000002662   
0601JUA0Y       20260101002245100000005000 0000000000002663   
0601JUA0Y       20260101002250100000005000 0000000000002665   
0601JUA0Y       20260101002255100000005000 0000000000002669   
0601JUA0Y       20260101002260100000005000 0000000000002671   
0601JUA0Y       20260101002265100000005000 0000000000002673   
0601JUA0Y       20260101002270100000005000 0000000000002675   
0601JUA0Y       20260101002275100000005000 0000000000002678   
0601JUA0Y       20260101002280100000005000 0000000000002680   
0601JUA0Y       20260101002285100000005000 0000000000002682   
0601JUA0Y       20260101002290100000005000 0000000000002684   
0601JUA0Y       20260101002295100000005000 0000000000002687   
0601JUA0Y       20260101002300100000005000 0000000000002689   
0601JUA0Y       20260101002305100000005000 0000000000002691   
0601JUA0Y       20260101002310100000005000 0000000000002693   
0601JUA0Y       20260101002315100000005000 0000000000002696   
0601JUA0Y       20260101002320100000005000 0000000000002698   
0601JUA0Y       20260101002325100000005000 0000000000002700   
0601JUA0Y       20260101002330100000005000 0000000000002703   
0601JUA0Y       20260101002335100000005000 0000000000002705   
0601JUA0Y       20260101002340100000005000 0000000000002707   
0601JUA0Y       20260101002345100000005000 0000000000002708   
0601JUA0Y       20260101002350100000005000 0000000000002712   
0601JUA0Y       20260101002355100000005000 0000000000002713   
0601JUA0Y       20260101002360100000005000 0000000000002715   
0601JUA0Y       20260101002365100000005000 0000000000002717   
0601JUA0Y       20260101002370100000005000 0000000000002720   
0601JUA0Y       20260101002375100000005000 0000000000002722   
0601JUA0Y       20260101002380100000005000 0000000000002724   
0601JUA0Y       20260101002385100000005000 0000000000002725   
0601JUA0Y       20260101002390100000005000 0000000000002728   
0601JUA0Y       20260101002395100000005000 0000000000002730   
0601JUA0Y       20260101002400100000005000 0000000000002732   
0601JUA0Y       20260101002405100000005000 0000000000002734   
0601JUA0Y       20260101002410100000005000 0000000000002737   
0601JUA0Y       20260101002415100000005000 0000000000002738   
0601JUA0Y       20260101002420100000005000 0000000000002740   
0601JUA0Y       20260101002425100000005000 0000000000002742   
0601JUA0Y       20260101002430100000005000 0000000000002745   
0601JUA0Y       20260101002435100000005000 0000000000002746   
0601JUA0Y       20260101002440100000005000 0000000000002748   
0601JUA0Y       20260101002445100000005000 0000000000002751   
0601JUA0Y       20260101002450100000005000 0000000000002753   
0601JUA0Y       20260101002455100000005000 0000000000002754   
0601JUA0Y       20260101002460100000005000 0000000000002756   
0601JUA0Y       20260101002465100000005000 0000000000002759   
0601JUA0Y       20260101002470100000005000 0000000000002761   
0601JUA0Y       20260101002475100000005000 0000000000002762   
0601JUA0Y       20260101002480100000005000 0000000000002764   
0601JUA0Y       20260101002485100000005000 0000000000002767   
0601JUA0Y       20260101002490100000005000 0000000000002768   
0601JUA0Y       20260101002495100000005000 0000000000002770   
0601JUA0Y       20260101002500100000005000 0000000000002771   
0601JUA0Y       20260101002505100000005000 0000000000002774   
0601JUA0Y       20260101002510100000005000 0000000000002776   
0601JUA0Y       20260101002515100000005000 0000000000002777   
0601JUA0Y       20260101002520100000005000 0000000000002779   
0601JUA0Y       20260101002525100000005000 0000000000002782   
0601JUA0Y       20260101002530100000005000 0000000000002783   
0601JUA0Y       20260101002535100000005000 0000000000002785   
0601JUA0Y       20260101002540100000005000 0000000000002788   
0601JUA0Y       20260101002545100000005000 0000000000002789   
0601JUA0Y       20260101002550100000005000 0000000000002791   
0601JUA0Y       20260101002555100000005000 0000000000002792   
0601JUA0Y       20260101002560100000005000 0000000000002795   
0601JUA0Y       20260101002565100000005000 0000000000002796   
0601JUA0Y       20260101002570100000005000 0000000000002798   
0601JUA0Y       20260101002575100000005000 0000000000002799   
0601JUA0Y       20260101002580100000005000 0000000000002802   
0601JUA0Y       20260101002585100000005000 0000000000002803   
0601JUA0Y       20260101002590100000005000 0000000000002805   
0601JUA0Y       20260101002595100000005000 0000000000002806   
0601JUA0Y       20260101002600100000005000 0000000000002809   
0601JUA0Y       20260101002605100000005000 0000000000002810   
0601JUA0Y       20260101002610100000005000 0000000000002812   
0601JUA0Y       20260101002615100000005000 0000000000002813   
0601JUA0Y       20260101002620100000005000 0000000000002816   
